0.000000000000000000e+00 2.000000000000000000e+04 2.000000000000000000e+04 2.000000000000000000e+04 2.000000000000000000e+04
4.950495049504950729e-02 1.931371566281193373e+04 1.932549031759867648e+04 1.932549031759867648e+04 1.932535679360020731e+04
9.900990099009901457e-02 1.865098063519735297e+04 1.867372880078000890e+04 1.867372880078000890e+04 1.867347075999748267e+04
1.485148514851485357e-01 1.801098684104065978e+04 1.804394825664687960e+04 1.804394825664687960e+04 1.804357425059060915e+04
1.980198019801980291e-01 1.739295393272533329e+04 1.743540736625403952e+04 1.743540736625403952e+04 1.743492551122404984e+04
2.475247524752475226e-01 1.679612833965218670e+04 1.684738981199655609e+04 1.684738981199655609e+04 1.684680780871236129e+04
2.970297029702970715e-01 1.621978234940699258e+04 1.627920343442750163e+04 1.627920343442750163e+04 1.627852858682882106e+04
3.465346534653465649e-01 1.566321322045712077e+04 1.573017941751239050e+04 1.573017941751239050e+04 1.572941865076437534e+04
3.960396039603960583e-01 1.512574232529528308e+04 1.519967150136128475e+04 1.519967150136128475e+04 1.519883137909655488e+04
4.455445544554455517e-01 1.460671432298564650e+04 1.468705522151190235e+04 1.468705522151190235e+04 1.468614196234037991e+04
4.950495049504950451e-01 1.410549636010336508e+04 1.419172717386826844e+04 1.419172717386826844e+04 1.419074666718458502e+04
5.445544554455445940e-01 1.362147729909325608e+04 1.371310430442966208e+04 1.371310430442966208e+04 1.371206212554675403e+04
5.940594059405941429e-01 1.315406697310673189e+04 1.325062322297380888e+04 1.325062322297380888e+04 1.324952464761015290e+04
6.435643564356435808e-01 1.270269546640843328e+04 1.280373953988642643e+04 1.280373953988642643e+04 1.280258955803331264e+04
6.930693069306931298e-01 1.226681241947513627e+04 1.237192722535652319e+04 1.237192722535652319e+04 1.237073055455070607e+04
7.425742574257425677e-01 1.184588635793964568e+04 1.195467799018314690e+04 1.195467799018314690e+04 1.195343908820920660e+04
7.920792079207921166e-01 1.143940404456145916e+04 1.155150068746472061e+04 1.155150068746472061e+04 1.155022376451050150e+04
8.415841584158416655e-01 1.104686985343404194e+04 1.116192073446669565e+04 1.116192073446669565e+04 1.116060976475427742e+04
8.910891089108911034e-01 1.066780516566570259e+04 1.078547955398700105e+04 1.078547955398700105e+04 1.078413828690074297e+04
9.405940594059406523e-01 1.030174778579718804e+04 1.042173403456171400e+04 1.042173403456171400e+04 1.042036600529406860e+04
9.900990099009900902e-01 9.948251378244465741e+03 1.007025600887554901e+04 1.007025600887554901e+04 1.006886454861051789e+04
1.039603960396039639e+00 9.606884923079527653e+03 9.730631749763215339e+03 9.730631749763215339e+03 9.729219995416526217e+03
1.089108910891089188e+00 9.277232190485645333e+03 9.402461483208364371e+03 9.402461483208364371e+03 9.401032386742686867e+03
1.138613861386138737e+00 8.958891233246284173e+03 9.085358917766887316e+03 9.085358917766887316e+03 9.083915255099667775e+03
1.188118811881188286e+00 8.651473896648863956e+03 8.778950789860638906e+03 8.778950789860638906e+03 8.777495169381445521e+03
1.237623762376237613e+00 8.354605345205787671e+03 8.482876424406351362e+03 8.482876424406351362e+03 8.481411295119934948e+03
1.287128712871287162e+00 8.067923605615666929e+03 8.196787310262550818e+03 8.196787310262550818e+03 8.195314969573177223e+03
1.336633663366336711e+00 7.791079125407472020e+03 7.920346689994731605e+03 7.920346689994731605e+03 7.918869291146723299e+03
1.386138613861386260e+00 7.523734346729470417e+03 7.653229163475895803e+03 7.653229163475895803e+03 7.651748722664719025e+03
1.435643564356435808e+00 7.265563294763254817e+03 7.395120304855861832e+03 7.395120304855861832e+03 7.393638708023516301e+03
1.485148514851485135e+00 7.016251180261027912e+03 7.145716292448466447e+03 7.145716292448466447e+03 7.144235301776385313e+03
1.534653465346534684e+00 6.775494015721506912e+03 6.904723551100997611e+03 6.904723551100997611e+03 6.903244811213134199e+03
1.584158415841584233e+00 6.542998244736450033e+03 6.671858406624894087e+03 6.671858406624894087e+03 6.670383450513155367e+03
1.633663366336633782e+00 6.318480384055868853e+03 6.446846751880936608e+03 6.446846751880936608e+03 6.445377006564639487e+03
1.683168316831683331e+00 6.101666677935490043e+03 6.229423724125876106e+03 6.229423724125876106e+03 6.227960516056426059e+03
1.732673267326732658e+00 5.892292764345017531e+03 6.019333393240705846e+03 6.019333393240705846e+03 6.017877953462244477e+03
1.782178217821782207e+00 5.690103352630189875e+03 5.816328460473582709e+03 5.816328460473582709e+03 5.814881929549924280e+03
1.831683168316831756e+00 5.494851912235620148e+03 5.620169967342792006e+03 5.620169967342792006e+03 5.618733400060535132e+03
1.881188118811881305e+00 5.306300372108860756e+03 5.430627014357100052e+03 5.430627014357100052e+03 5.429201384214412428e+03
1.930693069306930854e+00 5.124218830419184997e+03 5.247476489222397504e+03 5.247476489222397504e+03 5.246062692712582248e+03
1.980198019801980180e+00 4.948385274237143676e+03 5.070502804214706885e+03 5.070502804214706885e+03 5.069101664913284367e+03
2.029702970297029729e+00 4.778585308833093222e+03 4.899497642410412482e+03 4.899497642410412482e+03 4.898109914874102287e+03
2.079207920792079278e+00 4.614611896264636016e+03 4.734259712474998196e+03 4.734259712474998196e+03 4.732886085960637502e+03
2.128712871287128827e+00 4.456265102934229617e+03 4.574594511721653362e+03 4.574594511721653362e+03 4.573235613732764250e+03
2.178217821782178376e+00 4.303351855809153676e+03 4.420314097160842721e+03 4.420314097160842721e+03 4.418970496829244439e+03
2.227722772277227925e+00 4.155685707006603479e+03 4.271236864271339982e+03 4.271236864271339982e+03 4.269909075580895660e+03
